Application,Start Time,End Time,Duration (seconds),App Type
Code,2025-01-30 22:02:59,2025-01-30 22:09:52,79.05999999999999,other
python,2025-01-30 22:02:17,2025-01-30 22:02:23,6.01,coding
explorer,2025-01-30 22:02:29,2025-01-30 22:04:39,26.02,other
Edge: GUI,2025-01-30 22:02:48,2025-01-30 22:03:52,40.04,browser
ApplicationFrameHost,2025-01-30 22:02:26,2025-01-30 22:05:51,37.03,other
CopilotNative,2025-01-30 22:04:05,2025-01-30 22:04:26,21.02,other
Edge: Screen Time Tracker Code,2025-01-30 22:03:52,2025-01-30 22:09:36,93.10000000000001,browser
Edge: ChatGPT,2025-01-30 22:04:35,2025-01-30 22:07:24,85.08,browser
Edge: Login,2025-01-30 22:04:51,2025-01-30 22:04:55,4.0,browser
Edge: Sign in,2025-01-30 22:04:57,2025-01-30 22:06:11,37.029999999999994,browser
SearchApp,2025-01-30 22:05:11,2025-01-30 22:05:13,2.0,other
