Application,Start Time,End Time,Duration (seconds),App Type
py,2025-01-31 15:16:11,2025-01-31 16:35:35,20.0,coding
EXCEL.EXE,2025-01-31 15:16:27,2025-01-31 15:16:31,4.0,other
python,2025-01-31 15:16:19,2025-01-31 17:31:00,595.73,coding
explorer,2025-01-31 15:16:24,2025-01-31 17:30:11,339.30999999999995,other
Edge: New tab,2025-01-31 15:16:41,2025-01-31 17:27:39,90.07,browser
SearchApp,2025-01-31 15:55:31,2025-01-31 17:20:56,8.01,other
Canva,2025-01-31 15:39:38,2025-01-31 17:30:21,1196.0599999999997,other
ApplicationFrameHost,2025-01-31 15:16:56,2025-01-31 17:21:32,786.8399999999998,other
Edge: Instagram,2025-01-31 15:17:40,2025-01-31 15:44:02,55.05,social media
Obsidian,2025-01-31 15:19:36,2025-01-31 17:28:39,244.23,other
Idle Time,2025-01-31 15:25:11,2025-01-31 17:20:33,1698.91,other
Edge: Internet Speed Test | Fast.com,2025-01-31 15:26:33,2025-01-31 17:30:56,213.23999999999998,browser
Edge: Mobile,2025-01-31 15:27:08,2025-01-31 15:27:23,15.02,browser
Edge: Home Wireless High Speed Router B535-932a | Orange Egypt,2025-01-31 15:27:23,2025-01-31 15:27:53,30.03,browser
Edge: Amazon.eg: Shop Online in Egypt,2025-01-31 15:27:54,2025-01-31 15:27:58,4.0,browser
Edge: Amazon.eg : modem,2025-01-31 15:27:58,2025-01-31 15:33:13,109.13,browser
Edge: www.amazon.eg,2025-01-31 15:33:13,2025-01-31 15:37:59,80.1,browser
Edge: TD-W9960,2025-01-31 15:33:48,2025-01-31 17:29:29,155.18,browser
Edge: mifi etisalat,2025-01-31 15:35:51,2025-01-31 15:37:06,15.02,browser
Edge: e& egypt | Prepaid bundles,2025-01-31 15:35:53,2025-01-31 15:36:53,60.07,browser
Edge: Penguin cotton cushion,2025-01-31 15:37:59,2025-01-31 15:38:37,38.05,browser
Edge: Amazon.eg : cushion,2025-01-31 15:38:38,2025-01-31 15:39:00,22.02,browser
Edge: www.etisalat.eg,2025-01-31 15:39:01,2025-01-31 15:39:03,2.0,browser
Edge: etisalat.eg/eshop2/,2025-01-31 15:39:03,2025-01-31 15:39:05,2.0,browser
Edge: Eshop,2025-01-31 15:39:05,2025-01-31 15:39:16,11.01,browser
Edge: Facebook Video Downloader Online,2025-01-31 15:39:36,2025-01-31 15:40:05,9.0,social media
Edge: Facebook Video Downloader,2025-01-31 15:40:07,2025-01-31 15:40:56,15.01,social media
Edge: github facebook video downloader,2025-01-31 15:40:29,2025-01-31 15:40:32,3.0,browser
Edge: bellingcat/facebook-downloader: Facebook video downloader,2025-01-31 15:40:26,2025-01-31 15:40:29,3.0,social media
"Edge: mrxehmad/facebook-video-downloader: simple PHP application that allows users to download Facebook videos by entering the video URL. It fetches the Facebook video page using a mobile user-agent, extracts the direct video download link,",2025-01-31 15:40:32,2025-01-31 15:40:42,10.01,social media
Edge: Facebook,2025-01-31 15:40:45,2025-01-31 15:40:59,7.0,social media
Edge: facebook reel downloader,2025-01-31 15:41:00,2025-01-31 15:41:02,2.0,browser
Edge: Download Facebook Reels Videos Online,2025-01-31 15:41:02,2025-01-31 15:48:00,78.06,social media
Edge: FDownloader,2025-01-31 15:44:28,2025-01-31 15:47:25,41.03,browser
Edge: ,2025-01-31 15:58:44,2025-01-31 16:30:02,16.0,browser
Spotify,2025-01-31 15:45:48,2025-01-31 15:45:50,2.0,other
"Edge: Download Instagram Video, Story, Photo, Highlight & REELS | StorySave",2025-01-31 15:45:50,2025-01-31 15:45:56,6.0,social media
Edge: Redirecting... | Canva,2025-01-31 15:49:51,2025-01-31 15:49:53,2.0,browser
Edge: SMASH MAN,2025-01-31 15:49:53,2025-01-31 15:49:55,2.0,browser
Edge: 6*4,2025-01-31 15:55:38,2025-01-31 15:55:42,4.0,browser
Edge: pinterest,2025-01-31 15:55:49,2025-01-31 15:55:52,3.0,browser
Edge: Pinterest,2025-01-31 15:56:08,2025-01-31 16:20:50,433.45,browser
Edge: Рекламное видео: сборка бургера,2025-01-31 15:58:07,2025-01-31 15:58:20,7.0,browser
ScreenClippingHost,2025-01-31 15:57:03,2025-01-31 15:57:05,2.0,other
Edge: pinterest downloader,2025-01-31 15:58:15,2025-01-31 15:58:17,2.0,browser
Edge: Pinterest Video Downloader,2025-01-31 15:58:20,2025-01-31 16:28:05,66.03999999999999,browser
Edge: v1.pinimg.com/videos/mc/720p/a4/52/3a/a4523ac39e3c17a9a49d8552577ca4a6.mp4,2025-01-31 15:58:39,2025-01-31 15:58:44,5.0,browser
Edge: Pin page,2025-01-31 16:00:32,2025-01-31 16:29:45,338.33,browser
Edge: Burger or Fries ?? 😋,2025-01-31 16:02:05,2025-01-31 16:02:15,6.0,browser
Edge: Vance Studios,2025-01-31 16:02:20,2025-01-31 16:03:09,9.01,browser
Edge: Try our special Burger atCafe conki,2025-01-31 16:04:09,2025-01-31 16:04:42,33.03,browser
Edge: Translate page from German?,2025-01-31 16:11:03,2025-01-31 16:11:06,3.0,browser
Edge: Social Media | Jim Smash Burger,2025-01-31 16:14:01,2025-01-31 16:14:34,27.03,browser
Edge: Buns restaurant,2025-01-31 16:15:43,2025-01-31 16:15:47,4.0,browser
Edge: fries with kebab🫶🏼,2025-01-31 16:27:41,2025-01-31 16:27:43,2.0,browser
ShellExperienceHost,2025-01-31 16:18:09,2025-01-31 16:18:16,7.01,other
Edge: TikTok,2025-01-31 16:20:50,2025-01-31 16:21:10,20.01,social media
Edge: Find 'smash burger' on TikTok | TikTok Search,2025-01-31 16:21:10,2025-01-31 16:34:21,362.43,social media
